SampleID,Conc ng/ul
NS01,0.29
NS02,5.01
NS03,4.51
NS04,9.17
NS05,7.52
NS06,3.07
NS07,5.97
NS08,2.85
NS09,8.60
NS10,7.25
NS11,7.38
NS12,5.92
NS13,6.86
NS14,5.91
NS15,7.04
NS16,6.59
NS17,7.18
NS18,7.12
NS19,8.71
Nksk 2018_225,11.36
Nksk 2018_226,17.86
Nksk 2018_227,21.20
Nksk 2018_228,17.10
Nksk 2018_229,16.91
Nksk 2018_230,10.80
Nksk 2018_231,12.47
Nksk 2018_232,13.97
Nksk 2018_233,21.00
Nksk 2018_234,15.79
Nksk 2018_236,16.68
Nksk 2018_237,13.05
Nksk 2018_238,11.96
Nksk 2018_239,21.05
Nksk 2018_240,11.87
Nksk 2018_241,14.26
Nksk 2018_242,12.31
Nksk 2018_243,7.20
Nksk 2018_244,7.65
19-0222-1,6.62
19-0222-2,6.95
19-0222-3,5.45
19-0222-5,5.19
19-0225-1,6.44
19-0225-2,6.35
19-0225-3,7.73
19-0225-4,6.10
20-1325-1,6.51
20-1325-2,6.10
20-1325-3,5.85
20-1325-4,7.20
20-1325-5,6.83
20-1325-6,5.94
20-1325-7,5.63
20-1325-8,6.62
20-1325-9,6.80
20-1325-10,4.14
20-1325-11,6.15
20-1325-12,6.85
20-1325-13,5.12
20-1325-14,5.62
20-1325-15,6.28
20-1325-16,6.51
20-1325-17,6.76
20-1325-18,5.24
20-1325-19,6.71
20-1325-20,6.37
20-1329-1,4.99
20-1329-2,5.72
20-1329-3,10.05
20-1329-4,7.49
20-1329-5,6.45
20-1329-6,3.18
20-1330-1,2.09
20-1330-2,2.55
20-1330-3,5.32
20-1373-1,5.27
20-1373-2,7.73
20-1373-3,5.26
20-1373-4,7.84
20-1373-5,5.95
20-1373-6,7.35
20-1373-7,7.55
20-1373-8,7.24
20-1373-9,6.53
20-1373-10,7.23
20-1373-11,6.32
20-1373-12,8.45
20-1373-13,8.83
20-1373-14,7.93
20-1373-15,5.75
20-1373-16,8.50
20-1373-17,6.80
20-1373-18,7.70
20-1373-20,8.06
20-1375-1,11.70
20-1375-2,8.44
20-1375-3,5.20
20-1375-4,7.65
20-1375-5,7.42
20-1375-6,18.49
20-1375-7,5.72
20-1375-8,4.76
20-1375-9,4.70
20-1375-10,4.60
20-1375-11,4.02
20-1375-12,4.58
20-1375-13,4.58
20-1375-14,5.27
20-1375-15,5.27
20-1375-16,5.34
20-1375-17,3.40
20-1375-18,4.13
20-1375-19,4.70
20-1375-20,4.28