Samples,conc ng/ul
20-1373-19,0.34
20-1373-20,2.26
20-1375-1,2.05
20-1375-2,3.67
20-1375-3,3.75
20-1375-4,2.62
20-1375-5,3.17
20-1375-6,1.31
20-1375-7,3.18
20-1375-8,3.40
20-1375-9,3.88
20-1375-10,3.01
20-1375-11,2.65
20-1375-12,4.12
20-1375-13,2.62
20-1375-14,3.45
20-1375-15,3.62
20-1375-16,3.75
20-1375-17,2.55
20-1375-18,2.43
20-1375-19,1.94
20-1375-20,3.39
NS01,3.85
NS02,3.30
NS03,3.86
NS04,4.07
NS05,3.72
NS06,4.51
NS07,3.82
NS08,4.28
NS09,0.26
NS10,4.32
NS11,3.55
NS12,2.77
NS13,4.45
NS14,2.76
NS15,1.63
NS16,1.72
NS17,2.11
NS18,3.60
NS19,2.76
NS20,1.46
Nksk 2018_225,8.52
Nksk 2018_226,10.09
Nksk 2018_227,10.52
Nksk 2018_228,9.80
Nksk 2018_229,10.10
Nksk 2018_230,6.75
Nksk 2018_231,8.31
Nksk 2018_232,8.90
Nksk 2018_233,12.36
Nksk 2018_234,9.15
Nksk 2018_236,9.54
Nksk 2018_237,8.03
Nksk 2018_238,7.78
Nksk 2018_239,11.57
Nksk 2018_240,8.82
Nksk 2018_241,9.24
Nksk 2018_242,8.37
Nksk 2018_243,5.59
Nksk 2018_244,5.86
19-0222-1,1.39
19-0222-2,1.11
19-0222-3,1.48
19-0222-4,0.02
19-0222-5,1.62
19-0225-1,2.73
19-0225-2,2.71
19-0225-3,2.87
19-0225-4,3.28
20-1325-1,2.66
20-1325-2,5.14
20-1325-3,4.71
20-1325-4,5.41
20-1325-5,3.89
20-1325-6,4.58
20-1325-7,4.51
20-1325-8,5.08
20-1325-9,5.19
20-1325-10,3.41
20-1325-11,5.31
20-1325-12,4.42
20-1325-13,4.11
20-1325-14,4.65
20-1325-15,4.66
20-1325-16,4.17
20-1325-17,5.30
20-1325-18,4.85
20-1325-19,5.57
20-1325-20,5.33
20-1329-1,4.58
20-1329-2,2.22
20-1329-3,4.10
20-1329-4,4.39
20-1329-5,5.45
20-1329-6,0.55
20-1330-1,0.78
20-1330-2,0.95
20-1330-3,3.24
20-1373-1,4.66
20-1373-2,4.28
20-1373-3,4.48
20-1373-4,4.03
20-1373-5,4.52
20-1373-6,4.03
20-1373-7,3.52
20-1373-8,4.30
20-1373-9,2.38
20-1373-10,2.32
20-1373-11,3.82
20-1373-12,3.49
20-1373-13,4.44
20-1373-14,4.22
20-1373-15,3.42
20-1373-16,4.34
20-1373-17,1.25
20-1373-18,4.20